Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG Opp,FGA Opp,FG% Opp,3P Opp,3PA Opp,3P% Opp,2P Opp,2PA Opp,2P% Opp,FT Opp,FTA Opp,FT% Opp,ORB Opp,DRB Opp,TRB Opp,AST Opp,STL Opp,BLK Opp,TOV Opp,PF Opp,PTS Opp
Washington Wizards,42.6,87.9,.485,11.4,32.1,.356,31.2,55.8,.559,17.8,22.7,.785,9.5,34.6,44.1,25.7,6.9,5.2,14.3,19.0,114.4,42.9,90.8,.473,12.1,33.1,.366,30.8,57.6,.534,17.7,22.1,.798,10.9,32.6,43.5,25.1,7.2,5.0,12.4,19.6,115.6
New Orleans Pelicans,42.1,87.6,.480,11.0,30.1,.364,31.1,57.5,.541,19.3,24.4,.793,10.6,33.2,43.7,25.9,8.3,4.1,14.6,20.5,114.4,41.0,86.7,.472,12.2,36.0,.339,28.7,50.7,.567,18.4,23.6,.779,9.7,32.1,41.8,24.9,7.3,4.7,15.0,20.4,112.5
Minnesota Timberwolves,42.1,85.9,.490,11.9,32.7,.365,30.2,53.1,.568,17.6,23.3,.755,9.0,32.2,41.1,25.7,7.9,5.3,15.1,21.2,113.7,41.1,87.2,.471,12.1,32.7,.369,29.0,54.5,.532,19.6,25.6,.766,11.1,32.8,43.9,24.6,8.1,4.0,15.1,19.8,113.8
Chicago Bulls,42.7,87.1,.490,10.4,29.0,.361,32.2,58.1,.555,17.7,21.9,.809,8.5,34.0,42.5,24.5,7.9,4.5,13.4,19.0,113.5,40.9,87.4,.468,13.3,37.2,.357,27.6,50.2,.550,17.2,22.1,.779,9.7,33.8,43.5,26.1,6.7,4.8,15.1,18.8,112.2
Miami Heat,40.5,88.0,.460,12.3,35.9,.344,28.1,52.1,.540,19.7,23.7,.831,10.0,31.9,41.9,24.6,8.2,3.1,13.9,19.1,113.0,41.4,85.9,.482,13.6,36.9,.367,27.8,49.0,.569,17.0,21.8,.781,9.2,34.0,43.2,26.4,7.2,3.9,16.2,20.7,113.3
Orlando Magic,40.6,86.4,.470,10.8,31.2,.346,29.8,55.3,.539,19.6,25.0,.784,10.2,33.1,43.3,23.3,7.4,4.7,15.1,20.2,111.6,41.4,87.1,.476,13.0,37.0,.351,28.4,50.1,.567,18.4,23.1,.796,9.5,32.6,42.1,25.9,7.7,5.1,14.7,20.5,114.2
Houston Rockets,40.8,89.4,.457,10.5,32.1,.327,30.3,57.3,.530,19.2,25.5,.754,13.5,33.1,46.6,22.5,7.4,4.6,16.3,20.6,111.4,42.7,88.7,.482,14.6,39.1,.374,28.1,49.6,.567,19.3,24.4,.794,10.6,31.2,41.8,26.3,8.8,6.2,13.2,20.8,119.3
Detroit Pistons,39.7,87.4,.454,11.4,32.5,.351,28.3,54.8,.516,19.9,25.8,.771,11.2,31.4,42.6,23.1,7.0,3.8,15.1,22.2,110.7,43.2,88.4,.489,12.0,33.4,.360,31.2,54.9,.568,20.4,26.3,.777,11.0,33.9,44.9,25.8,7.7,5.5,13.6,21.0,118.9
San Antonio Spurs,42.0,90.3,.465,10.8,31.4,.345,31.2,58.9,.529,15.4,20.7,.743,11.5,31.1,42.6,26.5,6.8,3.8,14.9,19.4,110.2,45.0,88.7,.507,12.3,31.5,.391,32.6,57.2,.571,17.8,23.1,.770,10.4,33.4,43.9,26.1,7.9,5.1,13.5,18.0,120.0
Charlotte Hornets,40.6,89.0,.457,10.6,32.0,.330,30.1,56.9,.528,17.4,23.2,.749,10.8,33.0,43.8,24.7,7.6,5.1,14.0,19.9,109.2,42.3,88.7,.477,12.0,33.7,.357,30.2,55.0,.550,18.7,23.6,.795,10.7,34.7,45.5,25.5,6.9,5.7,14.1,20.0,115.3
