Visitor/Neutral,Home/Neutral,Home/Away Wins
Sacramento Kings,Brooklyn Nets,H
Miami Heat,Chicago Bulls,A
Los Angeles Lakers,Oklahoma City Thunder,A
San Antonio Spurs,Philadelphia 76ers,H
Cleveland Cavaliers,Dallas Mavericks,H
Boston Celtics,Denver Nuggets,H
Golden State Warriors,Utah Jazz,H
Houston Rockets,Los Angeles Clippers,H
Phoenix Suns,Minnesota Timberwolves,A
Chicago Bulls,Charlotte Hornets,A
Orlando Magic,Indiana Pacers,H
Toronto Raptors,Atlanta Hawks,A
San Antonio Spurs,New York Knicks,A
Miami Heat,Philadelphia 76ers,H
Portland Trail Blazers,Cleveland Cavaliers,H
Los Angeles Lakers,Memphis Grizzlies,A
Detroit Pistons,Milwaukee Bucks,H
New Orleans Pelicans,Utah Jazz,H
Dallas Mavericks,Houston Rockets,A
Brooklyn Nets,New York Knicks,A
Sacramento Kings,Washington Wizards,A
Phoenix Suns,Denver Nuggets,H
New Orleans Pelicans,Los Angeles Clippers,H
Brooklyn Nets,Cleveland Cavaliers,A
Orlando Magic,Detroit Pistons,H
Memphis Grizzlies,Indiana Pacers,H
Minnesota Timberwolves,Atlanta Hawks,A
Sacramento Kings,Boston Celtics,H
Charlotte Hornets,Miami Heat,H
Philadelphia 76ers,Toronto Raptors,H
Portland Trail Blazers,Chicago Bulls,A
Utah Jazz,Milwaukee Bucks,H
Los Angeles Lakers,San Antonio Spurs,A
Oklahoma City Thunder,Golden State Warriors,A
Los Angeles Clippers,Dallas Mavericks,A
Washington Wizards,Denver Nuggets,H
Brooklyn Nets,Boston Celtics,H
Detroit Pistons,Charlotte Hornets,H
Orlando Magic,Cleveland Cavaliers,A
Utah Jazz,Indiana Pacers,H
Sacramento Kings,Philadelphia 76ers,H
New York Knicks,Toronto Raptors,H
Miami Heat,Houston Rockets,H
Los Angeles Clippers,Memphis Grizzlies,A
Atlanta Hawks,Milwaukee Bucks,H
Minnesota Timberwolves,San Antonio Spurs,A
Washington Wizards,Phoenix Suns,A
Los Angeles Lakers,New Orleans Pelicans,A
Oklahoma City Thunder,Portland Trail Blazers,H
Chicago Bulls,Golden State Warriors,H
Boston Celtics,Brooklyn Nets,H
Charlotte Hornets,Detroit Pistons,A
Toronto Raptors,Orlando Magic,A
Milwaukee Bucks,Cleveland Cavaliers,A
Philadelphia 76ers,New York Knicks,A
Atlanta Hawks,Indiana Pacers,H
Utah Jazz,Memphis Grizzlies,A
Golden State Warriors,Miami Heat,H
New Orleans Pelicans,Oklahoma City Thunder,H
Los Angeles Clippers,San Antonio Spurs,H
Dallas Mavericks,Phoenix Suns,A
Chicago Bulls,Portland Trail Blazers,H
Washington Wizards,Los Angeles Lakers,H
Denver Nuggets,Sacramento Kings,H
Indiana Pacers,Philadelphia 76ers,H
Atlanta Hawks,Houston Rockets,H
Charlotte Hornets,Milwaukee Bucks,H
Miami Heat,Brooklyn Nets,A
Memphis Grizzlies,Minnesota Timberwolves,A
Boston Celtics,New York Knicks,A
Dallas Mavericks,Los Angeles Lakers,A
San Antonio Spurs,Detroit Pistons,H
Oklahoma City Thunder,New Orleans Pelicans,A
Golden State Warriors,Orlando Magic,H
Utah Jazz,Toronto Raptors,H
Washington Wizards,Los Angeles Clippers,H
Phoenix Suns,Charlotte Hornets,A
Utah Jazz,Philadelphia 76ers,H
Golden State Warriors,Atlanta Hawks,H
Indiana Pacers,Memphis Grizzlies,A
New York Knicks,Milwaukee Bucks,H
Chicago Bulls,Sacramento Kings,A
Detroit Pistons,Cleveland Cavaliers,A
Orlando Magic,Washington Wizards,A
Dallas Mavericks,New Orleans Pelicans,A
Miami Heat,Toronto Raptors,A
Houston Rockets,San Antonio Spurs,H
Los Angeles Lakers,Denver Nuggets,A
Portland Trail Blazers,Los Angeles Clippers,H
Golden State Warriors,Charlotte Hornets,H
Milwaukee Bucks,Detroit Pistons,A
Phoenix Suns,Orlando Magic,H
Brooklyn Nets,Atlanta Hawks,A
Miami Heat,Boston Celtics,H
Memphis Grizzlies,Chicago Bulls,H
Indiana Pacers,Oklahoma City Thunder,A
Minnesota Timberwolves,Dallas Mavericks,H
Los Angeles Lakers,Utah Jazz,A
Sacramento Kings,Portland Trail Blazers,H
Philadelphia 76ers,Washington Wizards,H
Denver Nuggets,New York Knicks,A
Houston Rockets,Toronto Raptors,A
Phoenix Suns,New Orleans Pelicans,A
Brooklyn Nets,Charlotte Hornets,A
Orlando Magic,Cleveland Cavaliers,A
Indiana Pacers,Detroit Pistons,H
Denver Nuggets,Boston Celtics,H
Golden State Warriors,Chicago Bulls,A
Washington Wizards,Miami Heat,H
Minnesota Timberwolves,Oklahoma City Thunder,H
Los Angeles Clippers,Milwaukee Bucks,H
Sacramento Kings,San Antonio Spurs,H
Los Angeles Lakers,Portland Trail Blazers,A
New Orleans Pelicans,Dallas Mavericks,H
Indiana Pacers,New York Knicks,A
Cleveland Cavaliers,Philadelphia 76ers,H
Phoenix Suns,Houston Rockets,H
Memphis Grizzlies,Utah Jazz,H
Denver Nuggets,Brooklyn Nets,H
Atlanta Hawks,Charlotte Hornets,A
Chicago Bulls,Miami Heat,H
Toronto Raptors,Philadelphia 76ers,H
Los Angeles Clippers,Washington Wizards,A
Sacramento Kings,Dallas Mavericks,A
Oklahoma City Thunder,Portland Trail Blazers,A
Minnesota Timberwolves,Los Angeles Lakers,H
Los Angeles Clippers,Indiana Pacers,A
Cleveland Cavaliers,Boston Celtics,H
Toronto Raptors,Chicago Bulls,A
Sacramento Kings,Houston Rockets,A
Orlando Magic,Milwaukee Bucks,H
Detroit Pistons,New Orleans Pelicans,A
Minnesota Timberwolves,Phoenix Suns,H
Oklahoma City Thunder,Utah Jazz,A
Memphis Grizzlies,Golden State Warriors,A
Washington Wizards,Charlotte Hornets,H
Atlanta Hawks,Miami Heat,H
Denver Nuggets,Philadelphia 76ers,H
New York Knicks,Portland Trail Blazers,H
Houston Rockets,Cleveland Cavaliers,A
Boston Celtics,Indiana Pacers,H
Los Angeles Lakers,Orlando Magic,A
Los Angeles Clippers,Toronto Raptors,A
Charlotte Hornets,Brooklyn Nets,A
Atlanta Hawks,Chicago Bulls,H
Utah Jazz,Minnesota Timberwolves,A
Memphis Grizzlies,Phoenix Suns,A
New Orleans Pelicans,Milwaukee Bucks,H
Oklahoma City Thunder,Sacramento Kings,H
New York Knicks,Golden State Warriors,A
Philadelphia 76ers,Boston Celtics,A
Cleveland Cavaliers,San Antonio Spurs,A
Dallas Mavericks,Detroit Pistons,A
Portland Trail Blazers,Denver Nuggets,H
Los Angeles Lakers,Miami Heat,A
Houston Rockets,Orlando Magic,A
New Orleans Pelicans,Philadelphia 76ers,H
Indiana Pacers,Atlanta Hawks,A
Charlotte Hornets,Chicago Bulls,A
Milwaukee Bucks,Memphis Grizzlies,A
Golden State Warriors,Utah Jazz,H
Los Angeles Clippers,Minnesota Timberwolves,A
New York Knicks,Sacramento Kings,A
San Antonio Spurs,Phoenix Suns,A
Brooklyn Nets,Toronto Raptors,H
Los Angeles Clippers,Chicago Bulls,H
Washington Wizards,Memphis Grizzlies,H
Miami Heat,Dallas Mavericks,A
Cleveland Cavaliers,Milwaukee Bucks,H
Oklahoma City Thunder,Denver Nuggets,H
Detroit Pistons,Houston Rockets,A
Orlando Magic,New Orleans Pelicans,A
Charlotte Hornets,Indiana Pacers,H
Los Angeles Lakers,Atlanta Hawks,A
Philadelphia 76ers,Brooklyn Nets,H
New York Knicks,Denver Nuggets,H
Sacramento Kings,Golden State Warriors,A
Washington Wizards,Detroit Pistons,A
Cleveland Cavaliers,Toronto Raptors,H
San Antonio Spurs,Houston Rockets,H
Miami Heat,Memphis Grizzlies,H
Dallas Mavericks,Milwaukee Bucks,A
Chicago Bulls,Oklahoma City Thunder,H
