Visitor/Neutral,Home/Neutral,Home/Away Wins
Chicago Bulls,Brooklyn Nets,H
Dallas Mavericks,Houston Rockets,H
Memphis Grizzlies,New Orleans Pelicans,H
Denver Nuggets,Milwaukee Bucks,A
Oklahoma City Thunder,Phoenix Suns,A
Portland Trail Blazers,Los Angeles Lakers,A
Minnesota Timberwolves,Los Angeles Clippers,H
New York Knicks,Indiana Pacers,A
Miami Heat,Orlando Magic,A
Golden State Warriors,Cleveland Cavaliers,A
Brooklyn Nets,Washington Wizards,H
Philadelphia 76ers,Boston Celtics,H
Atlanta Hawks,Dallas Mavericks,H
Charlotte Hornets,San Antonio Spurs,H
Los Angeles Lakers,Sacramento Kings,A
Utah Jazz,Portland Trail Blazers,H
Denver Nuggets,Detroit Pistons,H
New Orleans Pelicans,Houston Rockets,H
Phoenix Suns,Milwaukee Bucks,H
Chicago Bulls,Toronto Raptors,H
Orlando Magic,Charlotte Hornets,A
New York Knicks,Cleveland Cavaliers,A
Dallas Mavericks,Indiana Pacers,A
Golden State Warriors,Washington Wizards,A
Boston Celtics,Atlanta Hawks,A
Phoenix Suns,Brooklyn Nets,H
Philadelphia 76ers,Miami Heat,H
Detroit Pistons,Memphis Grizzlies,H
Minnesota Timberwolves,Sacramento Kings,H
San Antonio Spurs,Los Angeles Clippers,H
Milwaukee Bucks,New Orleans Pelicans,A
Charlotte Hornets,Houston Rockets,H
Portland Trail Blazers,Denver Nuggets,H
San Antonio Spurs,Los Angeles Lakers,H
Phoenix Suns,Detroit Pistons,H
Orlando Magic,Boston Celtics,H
Golden State Warriors,Brooklyn Nets,H
Indiana Pacers,Toronto Raptors,H
Atlanta Hawks,Minnesota Timberwolves,A
Cleveland Cavaliers,Oklahoma City Thunder,H
Memphis Grizzlies,Dallas Mavericks,A
Denver Nuggets,Utah Jazz,A
Miami Heat,Los Angeles Clippers,H
Orlando Magic,New York Knicks,H
New Orleans Pelicans,Chicago Bulls,A
Philadelphia 76ers,Milwaukee Bucks,H
San Antonio Spurs,Portland Trail Blazers,H
Houston Rockets,Los Angeles Lakers,A
Memphis Grizzlies,Philadelphia 76ers,H
Dallas Mavericks,Washington Wizards,H
Atlanta Hawks,Boston Celtics,H
Toronto Raptors,Indiana Pacers,A
Detroit Pistons,Oklahoma City Thunder,H
Houston Rockets,Phoenix Suns,H
Miami Heat,Sacramento Kings,H
Portland Trail Blazers,Utah Jazz,H
Milwaukee Bucks,Orlando Magic,A
Dallas Mavericks,Charlotte Hornets,A
New York Knicks,Detroit Pistons,A
New Orleans Pelicans,Indiana Pacers,A
Brooklyn Nets,Toronto Raptors,H
Los Angeles Clippers,Minnesota Timberwolves,H
Los Angeles Lakers,Golden State Warriors,A
Denver Nuggets,Phoenix Suns,A
San Antonio Spurs,Sacramento Kings,H
Boston Celtics,Oklahoma City Thunder,A
New York Knicks,Atlanta Hawks,H
Chicago Bulls,Philadelphia 76ers,H
Memphis Grizzlies,Washington Wizards,A
Utah Jazz,Houston Rockets,A
Los Angeles Clippers,Cleveland Cavaliers,A
Miami Heat,Portland Trail Blazers,H
Charlotte Hornets,Detroit Pistons,A
Brooklyn Nets,Indiana Pacers,A
Atlanta Hawks,Orlando Magic,H
Minnesota Timberwolves,Toronto Raptors,H
Sacramento Kings,Milwaukee Bucks,H
Utah Jazz,Dallas Mavericks,A
San Antonio Spurs,Denver Nuggets,H
Miami Heat,Golden State Warriors,A
Phoenix Suns,Los Angeles Lakers,H
Los Angeles Clippers,Philadelphia 76ers,H
Chicago Bulls,Washington Wizards,H
Portland Trail Blazers,New Orleans Pelicans,H
San Antonio Spurs,Oklahoma City Thunder,A
Boston Celtics,Houston Rockets,H
Atlanta Hawks,Cleveland Cavaliers,H
Detroit Pistons,Orlando Magic,H
Toronto Raptors,Brooklyn Nets,H
Milwaukee Bucks,Indiana Pacers,H
Washington Wizards,New York Knicks,A
Portland Trail Blazers,Memphis Grizzlies,H
Charlotte Hornets,Minnesota Timberwolves,A
Sacramento Kings,Dallas Mavericks,H
Golden State Warriors,Phoenix Suns,H
Miami Heat,Utah Jazz,H
Los Angeles Lakers,Denver Nuggets,A
Los Angeles Clippers,Boston Celtics,H
Oklahoma City Thunder,New Orleans Pelicans,A
Milwaukee Bucks,Detroit Pistons,A
Miami Heat,Atlanta Hawks,H
Charlotte Hornets,Chicago Bulls,A
Brooklyn Nets,Philadelphia 76ers,H
Memphis Grizzlies,Sacramento Kings,H
Houston Rockets,Golden State Warriors,A
Dallas Mavericks,Orlando Magic,A
Cleveland Cavaliers,Washington Wizards,A
Indiana Pacers,New York Knicks,A
Phoenix Suns,Toronto Raptors,H
Boston Celtics,Minnesota Timberwolves,A
Denver Nuggets,Oklahoma City Thunder,H
San Antonio Spurs,Utah Jazz,A
Memphis Grizzlies,Los Angeles Lakers,H
New Orleans Pelicans,Portland Trail Blazers,A
Sacramento Kings,Los Angeles Clippers,A
Brooklyn Nets,Charlotte Hornets,A
Dallas Mavericks,Atlanta Hawks,H
Phoenix Suns,Chicago Bulls,A
Cleveland Cavaliers,Miami Heat,H
Philadelphia 76ers,Milwaukee Bucks,H
Houston Rockets,Utah Jazz,A
Boston Celtics,Los Angeles Lakers,H
Minnesota Timberwolves,Denver Nuggets,H
Indiana Pacers,Toronto Raptors,H
Washington Wizards,Chicago Bulls,H
San Antonio Spurs,Oklahoma City Thunder,H
New Orleans Pelicans,Golden State Warriors,A
Detroit Pistons,Portland Trail Blazers,H
Miami Heat,Cleveland Cavaliers,H
Atlanta Hawks,Philadelphia 76ers,H
Milwaukee Bucks,Washington Wizards,A
Orlando Magic,Brooklyn Nets,A
New York Knicks,Houston Rockets,H
Minnesota Timberwolves,Dallas Mavericks,H
Phoenix Suns,Utah Jazz,A
Memphis Grizzlies,Los Angeles Clippers,H
Charlotte Hornets,Indiana Pacers,H
Milwaukee Bucks,Toronto Raptors,A
Oklahoma City Thunder,Chicago Bulls,A
Detroit Pistons,Denver Nuggets,H
New Orleans Pelicans,Los Angeles Lakers,H
Boston Celtics,Portland Trail Blazers,A
Sacramento Kings,Golden State Warriors,A
New York Knicks,Charlotte Hornets,H
Philadelphia 76ers,Cleveland Cavaliers,H
Brooklyn Nets,Washington Wizards,H
Orlando Magic,Atlanta Hawks,A
Minnesota Timberwolves,Miami Heat,A
Memphis Grizzlies,Houston Rockets,H
Dallas Mavericks,San Antonio Spurs,A
Los Angeles Clippers,Phoenix Suns,A
Boston Celtics,Utah Jazz,A
New York Knicks,Philadelphia 76ers,H
Portland Trail Blazers,Indiana Pacers,H
Sacramento Kings,Oklahoma City Thunder,H
Los Angeles Lakers,Golden State Warriors,A
Minnesota Timberwolves,Orlando Magic,H
Brooklyn Nets,Atlanta Hawks,H
Charlotte Hornets,Toronto Raptors,A
Sacramento Kings,Memphis Grizzlies,A
Dallas Mavericks,Miami Heat,H
Oklahoma City Thunder,Milwaukee Bucks,H
Cleveland Cavaliers,New Orleans Pelicans,H
Detroit Pistons,Phoenix Suns,A
Washington Wizards,Utah Jazz,H
Denver Nuggets,Los Angeles Clippers,H
Chicago Bulls,New York Knicks,H
Portland Trail Blazers,Atlanta Hawks,H
Brooklyn Nets,Miami Heat,H
Indiana Pacers,Cleveland Cavaliers,A
Los Angeles Lakers,Memphis Grizzlies,H
Houston Rockets,Boston Celtics,A
Orlando Magic,San Antonio Spurs,H
Golden State Warriors,Phoenix Suns,A
Milwaukee Bucks,Charlotte Hornets,A
Philadelphia 76ers,Los Angeles Clippers,H
Dallas Mavericks,Minnesota Timberwolves,A
Toronto Raptors,Denver Nuggets,H
Detroit Pistons,Sacramento Kings,H
Los Angeles Lakers,New Orleans Pelicans,A
Washington Wizards,Golden State Warriors,A
Utah Jazz,Cleveland Cavaliers,A
Houston Rockets,New York Knicks,H
Portland Trail Blazers,Orlando Magic,A
Memphis Grizzlies,Atlanta Hawks,A
Milwaukee Bucks,Miami Heat,H
Dallas Mavericks,Chicago Bulls,H
Indiana Pacers,San Antonio Spurs,A
San Antonio Spurs,Charlotte Hornets,A
Brooklyn Nets,Boston Celtics,A
Minnesota Timberwolves,New Orleans Pelicans,A
Los Angeles Clippers,Oklahoma City Thunder,A
Golden State Warriors,Denver Nuggets,A
Toronto Raptors,Phoenix Suns,A
Philadelphia 76ers,Los Angeles Lakers,H
Washington Wizards,Sacramento Kings,H
Boston Celtics,Cleveland Cavaliers,A
Oklahoma City Thunder,Detroit Pistons,A
Indiana Pacers,Milwaukee Bucks,H
Memphis Grizzlies,Brooklyn Nets,A
Utah Jazz,New York Knicks,A
Orlando Magic,Miami Heat,H
Chicago Bulls,Minnesota Timberwolves,H
New Orleans Pelicans,Dallas Mavericks,H
Washington Wizards,Portland Trail Blazers,H
Denver Nuggets,Charlotte Hornets,A
Los Angeles Clippers,Houston Rockets,A
Philadelphia 76ers,Sacramento Kings,A
Toronto Raptors,Golden State Warriors,A
Atlanta Hawks,Washington Wizards,H
San Antonio Spurs,Brooklyn Nets,H
Oklahoma City Thunder,New York Knicks,A
Indiana Pacers,Chicago Bulls,A
Orlando Magic,Minnesota Timberwolves,A
Miami Heat,New Orleans Pelicans,H
Utah Jazz,Boston Celtics,A
Memphis Grizzlies,Dallas Mavericks,H
Portland Trail Blazers,Phoenix Suns,H
Milwaukee Bucks,Los Angeles Lakers,H
Houston Rockets,Charlotte Hornets,H
Utah Jazz,Detroit Pistons,A
Denver Nuggets,Cleveland Cavaliers,H
Atlanta Hawks,Memphis Grizzlies,H
Philadelphia 76ers,Golden State Warriors,H
Sacramento Kings,Portland Trail Blazers,A
Chicago Bulls,Brooklyn Nets,H
New Orleans Pelicans,Minnesota Timberwolves,A
Los Angeles Lakers,Los Angeles Clippers,A
Oklahoma City Thunder,Boston Celtics,A
Milwaukee Bucks,Phoenix Suns,H
Miami Heat,Washington Wizards,A
Indiana Pacers,Dallas Mavericks,A
Orlando Magic,Houston Rockets,A
Detroit Pistons,New York Knicks,H
San Antonio Spurs,Cleveland Cavaliers,H
Toronto Raptors,Sacramento Kings,A
Charlotte Hornets,Atlanta Hawks,H
Milwaukee Bucks,Denver Nuggets,H
Toronto Raptors,Utah Jazz,A
New York Knicks,Washington Wizards,H
Boston Celtics,Indiana Pacers,A
Minnesota Timberwolves,Houston Rockets,H
Dallas Mavericks,San Antonio Spurs,H
Orlando Magic,Memphis Grizzlies,A
Cleveland Cavaliers,Chicago Bulls,H
Phoenix Suns,Portland Trail Blazers,H
Brooklyn Nets,Los Angeles Lakers,A
Los Angeles Clippers,Golden State Warriors,A
Detroit Pistons,Philadelphia 76ers,H
New York Knicks,Atlanta Hawks,A
Charlotte Hornets,Miami Heat,A
Denver Nuggets,Dallas Mavericks,H
